domanda;risp_A;risp_B;risp_C;risp_corretta;pti
Nell’esercizio di vendita è buona norma tenere bene in vista i numeri telefonici di:;centri antiveleno, guardia medica, ospedale più prossimo, dei Servizi di prevenzione ASL competente per territorio, dei Vigili del Fuoco;Comune e Settore Fitosanitario Regionale (SFR);ospedale più prossimo e Carabinieri Forestali;A;2
Un prodotto fitosanitario registrato per difendere le colture floricole da uno specifico fungo, si può impiegare anche sulla vite contro lo stesso fungo?;Sì, anche se non è indicata la vite in etichetta;No, se non è indicata la vite in etichetta;No, mai;B;3
Il certificato di abilitazione all’acquisto e all’utilizzo di prodotti fitosanitari è necessario per l’acquisto;di tutti i prodotti chimici impiegati in agricoltura;di tutti i prodotti fitosanitari ad uso professionale;solo dei prodotti fitosanitari ad uso professionale non autorizzati in agricoltura biologica;B;3
In quale dei casi sottoelencati è necessario che l’acquirente sia in possesso di certificato di abilitazione all’acquisto e all’utilizzo di prodotti fitosanitari?;Acquisto di fitoregolatori non PFnPE;Acquisto di concime azotato da usare in zone vulnerabili da nitrati;Acquisto di insetticidi PFnPE;A;3
Quali precauzioni occorre adottare effettuando i trattamenti in prossimità di abitazioni?;L’obbligo di avviso con l’apposizione di cartelli indicanti la sostanza attiva utilizzata, la data del trattamento, e la durata del divieto di accesso all’area trattata, nonché il rispetto dell’etichetta;Nessuna indicazione se il prodotto fitosanitario è autorizzato in agricoltura biologica;Nessuna precauzione in assenza di vento;A;1
In una rivendita di prodotti fitosanitari è ammessa la vendita di prodotti fitosanitari da parte di dipendenti in assenza del titolare?;No, mai;Soltanto di prodotti fitosanitari non professionali per piante edibili (PFnPE);Soltanto se il dipendente è in possesso di certificato di abilitazione alla vendita;C;3
Quali obblighi ha il venditore all’atto della vendita di prodotti fitosanitari ad uso professionale?;Deve verificare che l’acquirente sia titolare o dipendente di un’azienda agricola o di giardinaggio, che sia maggiorenne e che abbia con sé i DPI necessari al trasporto di prodotti fitosanitari;Deve accertare la validità del certificato di abilitazione all’utilizzo di prodotti fitosanitari ad uso professionale, l’identità dell’acquirente e registrare i prodotti venduti con il riferimento al numero o codice dell’abilitazione;Segnalare entro 30 giorni all’ASL i dati di vendita e gli estremi dell’acquirente;B;3
Quale cartellonistica deve essere apposta sulla porta di accesso al locale deposito di prodotti fitosanitari?;Divieto di accesso ai non autorizzati, un cartello generico indicante il pericolo, il cartello di divieto di fumare e di usare fiamme libere e obbligo uso DPI;Divieto di accesso alle persone sprovviste del certificato di abilitazione e l’obbligo di utilizzare dispositivi di protezione individuale;Cartellonistica indicante il pericolo di incendio, di scivolamento e di investimento;A;3
Qual è l’operazione più corretta per contrastare la comparsa di resistenza ad un prodotto fitosanitario?;Impiegare prodotti fitosanitari con diverso meccanismo di azione;Aumentare il dosaggio dello stesso prodotto fitosanitario;Aumentare il numero degli interventi;A;2
Quali sono i rischi connessi all’utilizzo di un prodotto fitosanitario illegale?;Rischi sanitari per la collettività e danni economici;Solo rischi legati a frode fiscale per l’agricoltore;Solo rischi di fitotossicità per la coltura trattata;A;2
Lo stoccaggio dei prodotti fitosanitari:;può avvenire negli stessi locali dedicati allo stoccaggio di mangimi solo se i prodotti fitosanitari sono per utilizzatori non professionali;deve avvenire nei contenitori originali, con etichette integre e leggibili;deve prevedere il posizionamento dei prodotti su ripiani assorbenti, così da garantire un facile recupero in caso di sversamento;B;3
Tutti i prodotti fitosanitari possono essere distribuiti su colture protette?;Sì;No;Solo quelli con specifica indicazione in etichetta;C;1
Nei locali di deposito e vendita di prodotti fitosanitari e relativi coadiuvanti è ammesso lo stoccaggio e vendita di generi alimentari?;Sì, sempre;No, mai;Sì, purchè gli alimenti siano confezionati;B;3
Il certificato di abilitazione alla vendita dei prodotti fitosanitari ha una validità;illimitata;di cinque anni;di tre anni;B;2
I locali adibiti alla vendita di prodotti fitosanitari devono essere muniti di autorizzazione sanitaria?;Sì;No;Solo se la Ditta commercializza anche generi alimentari;A;3
Nel caso di utilizzo dei filtri combinati per polveri e vapori organici, questi come devono essere posizionati?;È indifferente;Sul corpo della maschera deve essere montato il filtro per polveri e sul filtro per polveri deve essere montato il filtro per vapori organici;Sul corpo della maschera deve essere montato il filtro per vapori organici e sul filtro per vapori organici deve essere montato il filtro per polveri;C;2
Gli armadi destinati al deposito dei prodotti fitosanitari:;devono essere realizzati in materiale non assorbente e privi di spigoli taglienti;devono essere realizzati in materiale non poroso esempio l’acciaio ed il legno;non sono necessari. Possono essere utilizzati i bancali in legno che garantiscono il sollevamento dal pavimento in caso di sversamento;A;3
Dovendo fare un trattamento su colture ortive a raccolta scalare;bisogna rispettare l’intervallo di sicurezza per tutte le raccolte;non bisogna rispettare l’intervallo di sicurezza in quanto la raccolta è frazionata nel tempo;bisogna rispettare l’intervallo di sicurezza soltanto per l’ultima raccolta;A;2
Cosa si intende per organismi non bersaglio?;Tutti gli organismi non oggetto del trattamento che possono subire, in modo diretto o indiretto, qualsiasi forma di condizionamento a seguito della distribuzione del prodotto fitosanitario;Tutti gli organismi che muoiono a seguito della distribuzione del prodotto fitosanitario;Tutti gli organismi presenti nei corpi idrici;A;2
Gli imballaggi dei prodotti fitosanitari possono essere utilizzati per altri scopi?;Sì, solo quelli dei prodotti autorizzati in agricoltura biologica;Sì, purché non siano adibiti a contenere sostanze alimentari;No, mai;C;1
Può una coltura diventare un’infestante per la coltura che segue?;Sì, sempre;No, mai;Sì, è possibile;C;1
Qualora si verifichino incidenti che possono provocare lo sversamento nell’ambiente di ingenti quantità di prodotto fitosanitario, quali misure è opportuno prendere?;Avvertire immediatamente il Servizio di Igiene pubblica dell’Azienda Sanitaria Locale o i Vigili del Fuoco, cercando nel frattempo di limitare il più possibile la dispersione del prodotto;Evitare che qualsiasi persona entri in contatto con la sostanza fuoriuscita e disperdere il più possibile il prodotto lontano dai luoghi abitati;Allontanarsi immediatamente dal luogo dell’incidente ed avvertire quanto prima i Carabinieri Forestali;A;3
Il certificato di abilitazione per utilizzatori professionali;è necessario solo per l’acquisto di prodotti fitosanitari ad uso professionale;è necessario per l’acquisto e l’uso di tutti i prodotti fitosanitari ad uso professionale;è necessario per l’acquisto anche di concimi chimici ad uso professionale;B;3
La vendita di prodotti fitosanitari oltre la data limite di commercializzazione indicata nel decreto di revoca:;è consentita per due anni successivi a tale data previa comunicazione all’acquirente;è sempre vietata;può essere autorizzata solo da chi è in possesso di certificato di abilitazione alla consulenza;B;3
Il registro di carico e scarico ai sensi dell’art. 67 del Regolamento (CE) 1107/2009;non deve essere compilato in caso di vendita di prodotti autorizzati in agricoltura biologica;contiene solo scheda informativa dei dati di vendita;deve essere compilato per l’acquisto e la vendita di tutti i prodotti fitosanitari;C;3
I pavimenti dei locali adibiti alla vendita/deposito di prodotti fitosanitari devono essere:;di tipo impermeabile e privi di fessurazioni;con pendenza sufficiente a convogliare i liquidi versati e le acque di lavaggio nella rete fognaria;perfettamente piani per evitare il convogliamento di eventuali sversamenti;A;2
Dopo aver impiegato guanti per prodotti fitosanitari, prima di toglierli è opportuno:;lavarli a lungo con acqua e sapone;strofinarli sull’erba;farli asciugare all’aria;A;1
Durante la manipolazione dei prodotti fitosanitari, quali sono i guanti più comunemente impiegati:;gomma nitrilica;gomma nitrilica rivestiti internamente in cotone rigorosamente di III categoria;compatibilmente con quanto rilevato durante la valutazione del rischio i guanti sono generalmente in gomma nitrilica e neoprene;C;1
Nel caso di intossicazione acuta da prodotti fitosanitari quali provvedimenti immediati occorre adottare?;Rimuovere il soggetto dalla fonte di contaminazione, spogliarlo e lavarlo con acqua o detergere la cute con dei panni o della carta, non somministrare latte o alcolici e portare l’intossicato in ospedale;Lavare l’intossicato con acqua e somministrare latte;Portare l’intossicato sotto la doccia;A;2
Nei casi di sversamento nel locale deposito di prodotti fitosanitari occorre;prevedere la presenza di materiali assorbenti inerti (sabbia, vermiculite) insieme ad una spazzola e sacchi o contenitori in plastica adeguati;seguire le indicazioni riportate sulle etichette;prevedere una procedura di intervento da parte di personale specializzato che utilizzi esclusivamente materiale idrorepellente;A;3
Quali prodotti fitosanitari possono essere usati per la produzione biologica?;Solo i prodotti a base di rame o zolfo;Solo quelli definiti “biologici”;Solo quelli indicati da una apposita normativa;C;2
Cosa si intende per lotta integrata?;L’uso congiunto e razionale di mezzi agronomici, fisici, biologici e chimici;L’utilizzo di trattori a 4 ruote motrici o cingolati per effettuare i trattamenti;La lotta che integra la difesa dell’ambiente e la sicurezza dei consumatori;A;1
Se si rende necessario eseguire un trattamento in prossimità della raccolta, quale tipo di prodotto occorre impiegare?;Un prodotto fitosanitario autorizzato in agricoltura biologica;Un prodotto fitosanitario con un intervallo di sicurezza inferiore all’intervallo di tempo che intercorre fra il trattamento e la raccolta;Un prodotto fitosanitario con un tempo di rientro inferiore all’intervallo di tempo che intercorre fra il trattamento e la raccolta;B;2
Quali sono i prodotti fitosanitari particolarmente pericolosi per le api?;I fungicidi;Gli erbicidi;Gli insetticidi;C;2
Nel caso di vegetali destinati alla trasformazione industriale, surgelati o conservati, si deve o no tenere conto dell’intervallo di sicurezza?;No, se i prodotti vengono lavati con acqua bollente;Si deve sempre tenerne conto;Non si deve tener conto se la parte edibile non entra in contatto con il prodotto fitosanitario durante l’irrorazione;B;2
I locali “sotterranei” o “seminterrati” possono essere adibiti a deposito di prodotti fitosanitari?;No, possono essere adibiti solo alla vendita di prodotti fitosanitari;Sì;No, in nessun caso;C;3
Quali sono gli aspetti a cui occorre dare priorità durante la predisposizione del locale dei prodotti fitosanitari?;Prevedere idonei DPI da utilizzarsi durante l’utilizzo dei prodotti fitosanitari;Prevenire la contaminazione dei corpi idrici e dei lavoratori addetti;Prevenire la contaminazione dei corpi idrici e della rete fognaria e prevedere misure di sicurezza per la protezione dell’operatore e delle persone che lo circondano;C;3
Il pittogramma seguito dalla scritta GHS 08 indica...;un pericolo per la salute;un pericolo per l’apparato respiratorio;un pericolo derivante da un ambiente inquinato;A;2
Formulati diversi contenenti la stessa sostanza attiva possono avere frasi di pericolo differenti?;No;Dipende dalla taglia della confezione;Sì;C;1
Quando un erbicida è selettivo?;Quando solo le piante infestanti sono danneggiate mentre la coltura non risente del trattamento;Quando si riescono a combattere le piante infestanti senza arrecare danni agli insetti utili;Quando sia la coltura che le erbe infestanti vengono danneggiate dal trattamento;A;3
I prodotti fitosanitari possono essere prodotti in qualsiasi stabilimento?;Sì;Solo in stabilimenti che hanno specifiche attrezzature per prodotti chimici ai sensi del D. lgs 78/2018;Solo in stabilimenti autorizzati per la produzione di prodotti fitosanitari;C;1
Cosa si intende per intervallo di sicurezza?;L’intervallo minimo di tempo, espresso in giorni, che deve intercorrere tra l'ultimo trattamento con un determinato prodotto fitosanitario e il consumo del prodotto raccolto;L’intervallo minimo di tempo, espresso in giorni, che deve intercorrere tra l’ultimo trattamento con un determinato prodotto fitosanitario e la raccolta e, per le derrate alimentari immagazzinate, tra l’ultimo trattamento e l’immissione in commercio;L’intervallo minimo di tempo, espresso in giorni, che deve intercorrere tra l'ultimo trattamento con un determinato prodotto fitosanitario e il trattamento successivo e, per le derrate alimentari immagazzinate, tra l'ultimo trattamento e il loro consumo;B;3
Quale colore e quale lettera identificano un filtro per polveri?;Bianco A;Bianco P;Marrone A;B;1
All’interno del locale deposito fitosanitari a garanzia di una corretta gestione delle situazioni di emergenza occorre;prevedere la presenza di dotazioni di sicurezza quali: strumenti di primo soccorso, materiali assorbenti inerti (sabbia, vermiculite...) con spazzola, sacchi o contenitori in plastica, estintori (polvere e/o schiuma), DPI in un apposito armadietto;prevedere la presenza di un telefono con i principali numeri utili, tra cui centro antiveleno e ASL in quanto enti titolati ad intervenire in caso di emergenza;attenersi alle indicazioni contenute nelle schede di sicurezza dei prodotti in deposito al punto 02. Emergenza;A;3
Cosa si deve fare in caso di contaminazione oculare?;Sciacquare gli occhi con acqua per 10-15 minuti e recarsi al pronto soccorso;Mettere il collirio;Sciacquare gli occhi con acqua;A;2
Da chi possono essere venduti i prodotti fitosanitari ad uso professionale?;Dalle rivendite autorizzate alla commercializzazione di sostanze chimiche;Esclusivamente da distributori autorizzati;Da chiunque sia autorizzato ad una attività commerciale purché le confezioni siano sigillate;B;3
Per poter vendere prodotti fitosanitari ad uso non professionale per prodotti edibili (PFnPE) è necessario essere muniti di certificato di abilitazione alla vendita ai sensi del d.lgs. 150/2012?;Sì;No;No se gli acquirenti sono prevalentemente hobbysti;A;3
Chiunque venda prodotti fitosanitari deve essere munito di un registro di carico e scarico, che deve riportare, alla voce scarico:;nome dell’impresa produttrice, data di arrivo della merce, data di vendita;nome della sostanza attiva venduta, ragione sociale della azienda acquirente, numero del certificato di abilitazione all’acquisto ed utilizzo di prodotti fitosanitari ad uso professionale dell’acquirente;nome e quantitativo del prodotto venduto, data della vendita, estremi della dichiarazione di responsabilità dell’acquirente/numero o codice dell’abilitazione all’acquisto;C;3
Cosa indicano i numeri posti nei filtri dopo la lettera che li contraddistingue (es. A1, P2, A2P2)?;Indicano la classe di appartenenza, nel caso dei filtri antivapori identifica la quantità di contaminante che il filtro non è in grado di assorbire;Nei filtri antipolvere fornisce l'indicazione dei tempi di saturazione del filtro;Indicano la classe di appartenenza, nel caso dei filtri antivapori identifica la quantità di contaminante che il filtro è in grado di assorbire;C;1
Relativamente alle modalità di stoccaggio dei prodotti fitosanitari, qualora un contenitore sia danneggiato o perda occorre:;inserirlo in un involucro impermeabile, portarlo al più vicino centro di raccolta di rifiuti urbani e consegnarlo unitamente alla Scheda di Sicurezza (SDS);sistemarlo in un contenitore a tenuta o con sovracontenitore, identificato con un etichetta recante il nome del prodotto, ubicato in luogo sicuro del magazzino lontano dagli altri prodotti;qualora si tratti di un prodotto pericoloso per la salute si può smaltire tra i rifiuti urbani altrimenti occorre utilizzare sacchetti sterili di neoprene con la scritta “contenitore non originale” e procedere alla restituzione del prodotto al fornitore per consentire le operazioni di recupero;B;3
Quali responsabilità assume chi acquista prodotti fitosanitari?;Nessuna responsabilità;È considerato responsabile solo se il prodotto non viene utilizzato secondo le indicazioni del produttore;La responsabilità diretta di modalità idonee di trasporto, conservazione e di impiego del prodotto e del corretto smaltimento delle confezioni;C;1
Che cosa indicano le frasi P in una etichetta?;Le frasi di prudenza per prevenire gli effetti nocivi conseguenti all’impiego dei prodotti fitosanitari;Le frasi di pericolo collegate all’utilizzo del prodotto fitosanitario;Il divieto di utilizzare il prodotto fitosanitario in pieno campo;C;2
Considerato che i DPI utilizzati dagli addetti ai trattamenti fitosanitari rientrano tra i DPI 3A categoria, il datore di lavoro deve anche;sottoporre i lavoratori a corsi di formazione e informazione e addestramento;sottoporre i lavoratori a corsi di formazione, informazione e sorveglianza sanitaria;sottoporre i lavoratori a corsi di formazione, informazione;A;2
E’ possibile miscelare prodotti fitosanitari diversi?;Sì, previa consultazione delle indicazioni di compatibilità in etichetta;Sì, sempre;No, mai;A;2
I documenti di registrazione delle vendite di prodotti fitosanitari per quanto tempo debbono essere conservati?;5 anni;1 anno;Sino alla completa vendita delle scorte;A;3
Come è opportuno segnalare un campo trattato con prodotti fitosanitari?;È un onere del Comune che deve essere avvisato in tempo utile dal proprietario del fondo;Depositando sul perimetro del terreno trattato un numero sufficiente di contenitori originali del prodotto impiegato;Applicando cartelli in numero sufficiente con avvertimenti idonei ai margini delle colture trattate;C;1
La nota informativa del DPI:;certifica che il DPI è marcato CE;contiene informazioni relative al deposito, impiego, pulizia, manutenzione, revisione, disinfezione, prestazioni, data e termine di scadenza, tipo da imballaggio da usare per il trasporto, il significato della marcatura;contiene informazioni relative all’impiego e il significato della marcatura è uno strumento indispensabile ai fini fiscali;B;1
Prodotti fitosanitari a base di fungicidi possono essere utilizzati per il trattamento dei suoli?;No, perché è molto elevato il rischio di inquinamento delle falde superficiali;Solo quelli che hanno specifiche indicazioni in etichetta;Solo quelli registrati per combattere il mal del piede;B;2
Le tecniche di lotta biologica possono essere utilizzate solo in agricoltura biologica?;Sì, perché lotta e agricoltura biologica sono la stessa cosa;Sì, poiché bisogna aderire ad un regolamento comunitario specifico;No, anche in agricoltura integrata, nonché in ambienti forestale ed urbano;C;2
Ai fini della sicurezza individuale è più pericoloso utilizzare una irroratrice;trainata;a spalla ad alto volume;a spalla a basso volume;B;2
Quali sono i Requisiti Essenziali di Sicurezza (RES) che l’utilizzatore dei DPI deve verificare e il costruttore del DPI deve rispettare?;Redazione della la presenza della dichiarazione di conformità, apposizione della marcatura CE anche sul DPI e sull’imballaggio e fornitura della nota informativa;L’apposizione della marcatura CE sul DPI, sull’imballaggio e sulla dichiarazione di conformità;Certificare la rispondenza ai RES del DPI nel certificato di conformità avendo la cura di indicare la norma specifica;A;2
Successivamente l’acquisto di prodotti fitosanitari, quali sono le fasi durante le quali un utilizzatore professionale deve indossare i DPI ?;Trasporto, miscelazione/riempimento, applicazione e pulizia, eventualmente in fase di rientro in campo o raccolta;Miscelazione/riempimento, applicazione e pulizia;Miscelazione/riempimento, applicazione e pulizia, eventualmente in fase di rientro in campo;C;1
Ipotizzando che si debbano trattare 3.810 metri quadrati di terreno con un prodotto fitosanitario e la dose prescritta in etichetta sia di un litro per ettaro si dovrà:;acquistare una confezione di mezzo litro, utilizzarla tutta in un unico trattamento e smaltire correttamente la confezione;usare 0,38 litri e conservare la rimanenza;se sono previsti 3 trattamenti per tutto il ciclo colturale con quel prodotto, acquistare una confezione da un litro e utilizzarla tutta in un solo trattamento;B;3
