domanda;risp_A;risp_B;risp_C;risp_corretta;pti
Cos’è il codice CER?;È il codice che identifica le tipologie di rifiuto all’interno del catalogo approvato dalle direttive europee;È il numero seriale che identifica l’azienda certificata a livello europeo per lo smaltimento dei rifiuti agricoli;È il codice attribuito all’azienda autorizzata alla gestione dei propri rifiuti;A;2
Una volta svuotato il contenitore del prodotto fitosanitario è bene;togliere l’etichetta per facilitare il recupero del materiale di cui è fatto l’imballaggio (plastica, cartone, vetro, etc.);lasciare integro l’imballaggio per poter recuperare le informazioni sul contenuto (tracciabilità) ed evitare la dispersione delle sostanze inquinanti nell’ambiente;ridurre di volume l’imballaggio per diminuire la possibilità di dispersione delle sostanze inquinanti nell’ambiente;A;1
Che cos’è la scheda di sicurezza?;È il manuale d’uso che descrive il corretto utilizzo di una attrezzatura;È un documento che elenca componenti, pericoli per la salute dell’uomo e dell’ambiente, indicazioni su trasporto e smaltimento di un dato prodotto chimico;È un documento che elenca le modalità di utilizzo dei DPI e che indica, fra l’altro, fabbricante e classe di efficienza;B;3
Il registro dei trattamenti deve essere compilato solo per i trattamenti con prodotti fitosanitari sulle colture agricole?;No, anche per la difesa delle derrate alimentari e per gli impieghi extra-agricoli;No, anche per la difesa delle derrate alimentari, per i trattamenti al bestiame allevato e per gli impieghi extra-agricoli;No, anche per gli impieghi extra-agricoli e, limitatamente alle aziende ricadenti in ZVN, per le concimazioni azotate;A;3
L’uso del mezzo aereo in Piemonte è sempre consentito?;Sì, sempre;No, è vietato salvo autorizzazione, in deroga, per la difesa ordinaria e per contrastare un’emergenza fitosanitaria;Sì, solo sulla vite;B;1
I prodotti fitosanitari acquistati da un utilizzatore professionale possono essere da questi ceduti ad altre persone?;No, in nessun caso;Solamente se si è certi che il loro impiego avvenga in modo corretto;Sì, se queste persone sono in possesso del certificato di abilitazione per l’acquisto ed utilizzo di prodotti fitosanitari ad uso professionale;A;3
Considerato che i DPI utilizzati dagli addetti ai trattamenti fitosanitari rientrano tra i DPI 3A categoria, il datore di lavoro deve anche;sottoporre i lavoratori a corsi di formazione e addestramento;sottoporre i lavoratori a corsi di formazione, informazione e sorveglianza sanitaria;sottoporre i lavoratori a corsi di formazione;A;1
I contenitori usati dei prodotti fitosanitari, conferiti a una ditta specializzata, devono: .;essere accompagnati solo dalla bolla di trasporto;essere accompagnati dal formulario di identificazione dei rifiuti;essere accompagnati dalla fattura di acquisto;B;1
Il produttore dei rifiuti:;è responsabile degli stessi fino al momento dell’accettazione da parte dell’impianto di destinazione;è responsabile degli stessi fino alla consegna alla ditta specializzata per lo smaltimento;può avvalersi di una ditta specializzata per lo smaltimento e non avere più responsabilità;A;3
Che cosa indicano le frasi H in una etichetta?;Il pericolo connesso alla manipolazione ed utilizzo di un prodotto fitosanitario;Il rischio connesso alla manipolazione ed utilizzo di un prodotto fitosanitario;Il divieto di utilizzare il prodotto in serre che hanno un’altezza inferiore a 2,1 metri;A;2
Che cosa indicano le frasi P in una etichetta?;Il divieto di utilizzare il prodotto in pieno campo;I consigli di prudenza per prevenire gli effetti nocivi conseguenti all’impiego del prodotto fitosanitario;Il pericolo connesso alla manipolazione ed utilizzo di un prodotto fitosanitario;B;2
Esiste un divieto legale d’impiego dei prodotti fitosanitari in aree di rispetto intorno a pozzi o sorgenti di acque destinate al consumo umano?;Sì, di norma entro un raggio di 200 metri;Nessun divieto se si è al di fuori di aree vulnerabili da nitrati (ZVN);Sì, entro un raggio di 50 metri salvo deroghe specifiche;A;3
A quale categoria europea appartengono i DPI per il rischio d’esposizione a prodotti fitosanitari?;Alla prima categoria;Alla seconda categoria;Alla terza categoria;C;1
L’addestramento per l’impiego dei DPI per le vie respiratorie negli ambienti di lavoro deve essere compiuto da:;un tecnico qualificato;un ispettore del lavoro;un rappresentante dei lavoratori per la sicurezza;A;1
Un DPI per la protezione del corpo o delle mani rispetta i requisiti essenziali di salute e di sicurezza quando:;possiede la marcatura CE, la nota informativa scritta che indichi che è in grado di proteggere la cute dal contatto con sostanze chimiche ed è stato effettuato un addestramento all’impiego da un formatore qualificato;possiede la marcatura CE ed è stato effettuato un addestramento all’impiego da un formatore qualificato;possiede la marcatura, la dichiarazione di conformità CE e la nota informativa scritta che indica che è in grado di proteggere in caso di contatto con prodotti fitosanitari;C;1
Cosa occorre fare dell’acqua di lavaggio derivante dalla bonifica dei contenitori vuoti di prodotti fitosanitari?;È possibile scaricarla nella vasca dei reflui zootecnici;Deve essere versata nella miscela preparata per effettuare il trattamento;È sempre vietato distribuirla nei terreni coltivati;B;2
Quando in etichetta è riportata una fascia di rispetto di 30 metri dai corpi idrici:;occorre preparare la miscela al di fuori di una fascia di 30 metri da un corpo idrico;occorre lasciare una fascia non trattata di almeno 30 metri fra la coltura e un corpo idrico;è possibile utilizzare un prodotto fitosanitario solo se la falda acquifera ha una profondità pari o maggiore a 30 metri;B;3
Le fasce tampone vegetate sono:;Le distanze stabilite nelle etichette dei prodotti fitosanitari, rispetto alle aree frequentate dalla popolazione e dai gruppi vulnerabili;Le fasce tampone inerbite, con o senza siepi, realizzate con le misure agro ambientali del psr, ai fini della tutela della biodiversità;Fasce di terreno costituite da vegetazione erbacea decorrenti lungo corpi idrici al fine di limitare principalmente il ruscellamento;C;2
Al fine di poter raccogliere eventuali sversamenti (perdite accidentali), il deposito dei prodotti fitosanitari deve disporre:;di un sistema di contenimento, costituito da apposita vasca per i reflui, di capacità superiore almeno al 10% dei prodotti stoccati;di pareti e pavimento lavabile e un sistema di contenimento, costituito da apposita vasca per i reflui, di capacità superiore almeno al 110% dei prodotti stoccati;di sistemi di contenimento in modo da evitare che il prodotto o le acque di lavaggio possano contaminare l’ambiente o la rete fognaria;C;2
Il deposito di prodotti fitosanitari deve essere ubicato:;tenendo conto delle specifiche disposizioni in materia di protezione delle acque;ad almeno 200 metri di distanza dai corpi idrici superficiali;ad almeno 200 metri di distanza da eventuali punti di prelievo delle acque per il consumo umano;A;2
Cosa si intende per organismi non bersaglio?;Tutti gli insetti che muoiono a seguito di un trattamento insetticida;Le specie animali e vegetali, terrestri e acquatiche raggiunti dai prodotti con attività sistemica;Le specie animali e vegetali, terrestri e acquatiche, che possono subire, in modo diretto o indiretto, qualsiasi forma di condizionamento a seguito della distribuzione di un prodotto fitosanitario;C;1
Quanto tempo è necessario attendere prima di accedere, senza DPI, ad un campo trattato con prodotti fitosanitari?;Almeno 48 ore, se non indicato diversamente in etichetta;Almeno il tempo dato dall’intervallo di sicurezza;Almeno 72 ore, se non indicato diversamente dall’etichetta;A;2
Il lavaggio e la conservazione delle mele in post raccolta modificano l’intervallo di sicurezza di un prodotto fitosanitario applicato in campo?;Sì, l’intervallo di sicurezza si azzera;No, l’intervallo di sicurezza rimane uguale;Sì, l’intervallo di sicurezza viene ridotto;B;3
Quali sono le modalità attraverso le quali i prodotti fitosanitari si disperdono nell’ambiente?;Deriva, volatilità, ruscellamento e lisciviazione;Contatto, asfissia e ingestione;Con l’abbandono dei contenitori vuoti non bonificati;A;2
In quali dei seguenti luoghi non può essere effettuato il “deposito temporaneo” dei rifiuti?;In un luogo custodito presso l’abitazione civile dell’imprenditore agricolo o del legale rappresentante dell’impresa;Nel deposito aziendale dei prodotti fitosanitari, anche se rifiuti e prodotti fitosanitari sono tenuti separati;In un sito nella disponibilità giuridica della cooperativa agricola o del consorzio agrario di cui l’imprenditore agricolo è socio;B;3
Al momento di togliere i guanti dopo il trattamento con prodotti fitosanitari, è opportuno...;sfilarseli rapidamente uno alla volta rovesciandoli;farseli sfilare da un’altra persona;sfilarseli contemporaneamente a poco a poco aiutandosi ogni volta con la mano protetta;C;1
Cosa significa il parametro della DL50 (Dose Letale 50)?;Il 50% del prodotto che può essere letale;La dose che in laboratorio uccide il 50% degli animali sottoposti a trattamento;La dose da diluire al 50% per avere un’azione letale;B;1
Le formulazioni in granuli possono essere maneggiate a mani nude?;Sì;No;Solamente se c’è acqua per lavarsi;B;1
Cosa si intende per intervallo di sicurezza?;L’intervallo minimo di tempo, espresso in giorni, che deve intercorrere tra il primo trattamento con un determinato prodotto fitosanitario e la raccolta;L’intervallo minimo di tempo, espresso in giorni, che deve intercorrere tra l’ultimo trattamento con un determinato prodotto fitosanitario e la raccolta e, per gli alimenti immagazzinati, tra l’ultimo trattamento e l’immissione in commercio;L’intervallo di tempo, espresso in giorni, che deve intercorrere fra un trattamento con prodotti fitosanitari e l’ingresso in campo senza dover indossare DPI;B;3
Trattamenti effettuati con prodotti fitosanitari su colture in pre-fioritura possono essere dannosi per le api?;Solo con alcuni fungicidi e nematocidi sistemici;Sì, sempre;Solo con alcuni insetticidi sistemici;C;2
Cosa si intende per tempo di rientro?;L’intervallo di tempo che, deve trascorrere tra il trattamento e l’accesso di uomini senza l’uso di DPI o animali nella zona trattata;L’intervento di tempo che è previsto tra la raccolta del prodotto e la semina della coltura successiva sullo stesso appezzamento;L’intervallo di tempo previsto tra la raccolta del prodotto trattato e il suo trasporto presso il centro di distribuzione;A;2
Quando l’operatore agricolo miscela due o più prodotti fitosanitari con intervalli di sicurezza diversi, dopo quanti giorni può effettuare la raccolta?;Dopo il numero di giorni indicati sul prodotto con l’intervallo di sicurezza più lungo;Dopo il numero di giorni indicati sul prodotto con l’intervallo di sicurezza più breve;Dopo un numero di giorni derivanti dalla media ponderata dell’intervallo di sicurezza dei prodotti miscelati e dalla loro relativa concentrazione;A;3
Un utilizzatore con barba quale DPI deve utilizzare per la protezione delle vie respiratorie?;Semimaschera;Casco;Maschera in tessuto non tessuto;B;1
Quale colore e quale lettera identificano un filtro per polveri?;Bianco A;Bianco P;Marrone A;B;1
In caso di trattamenti in serra effettuati da un operatore, quali mezzi di protezione individuale delle vie respiratorie è opportuno utilizzare?;Casco elettroventilato;Facciale filtrante;Facciale intera;A;2
Nei trattori, la cabina pressurizzata con sistema di filtraggio:;è un dispositivo di protezione individuale;non è un dispositivo di protezione collettiva;è un dispositivo di protezione collettiva assimilabile al casco elettroventilato;C;1
Chi è responsabile di eventuali danni che potrebbero verificarsi in seguito all’uso dei prodotti fitosanitari in modo non conforme alle indicazioni?;Colui che ha eseguito il trattamento;Colui che ha acquistato il prodotto fitosanitario;Colui che ha venduto il prodotto fitosanitario;A;3
Una fisiopatia è un danno alle piante che può derivare da:;agenti infettivi e insetti;condizioni ambientali non favorevoli;micoplasmi;B;2
Le manifestazioni provocate dai batteri sulle piante sono spesso rappresentate da:;maculature, gocce di essudato, marciumi molli;presenza di muffe in genere di colore bianco-grigiastro;presenza di decolorazioni, anulature, striature con colorazioni anomale;A;3
Per controllare i fitoplasmi che causano la flavescenza dorata della vite occorre:;utilizzare prodotti fitosanitari attivi contro i fitoplasmi;utilizzare insetticidi attivi contro rincoti omotteri;utilizzare prodotti fitosanitari biostimolanti;B;3
Gli acari parassiti delle piante:;causano prevalentemente decolorazioni, bronzature fogliari, rugginosità sui frutti;causano decolorazioni ed erosioni fogliari, oltre all’accartocciamento delle foglie;arrecano danni principalmente in quanto vettori di virosi;A;3
I fitoseidi sono:;insetti predatori di acari dannosi;acari predatori di acari dannosi;insetti predatori di insetti dannosi;B;2
Il livello volontario della difesa integrata, comporta:;il rispetto di disciplinari che prevedono limitazioni nell’impiego dei prodotti fitosanitari più restrittive rispetto alle norme di legge;la riduzione del numero di interventi effettuati e dei prodotti fitosanitari pari al 30% rispetto ai prodotti fitosanitari utilizzati negli anni precedenti e l’obbligo della rotazione colturale;solo l’obbligo della rotazione colturale.;A;2
Che cosa si intende per soglia di tolleranza?;la quantità di residuo ammessa dalla legge sull’alimento;la densità massima di popolazione del fitofago sopportata dalla coltura senza diminuzione significativa del danno economico;la quantità di prodotti fitosanitari tollerata dalla pianta;B;2
Quando si raggiunge la soglia economica di intervento?;Nel momento in cui, in base all’andamento del prezzo del gasolio agricolo, risulta meno costoso effettuare il trattamento;Nel momento in cui la presunta perdita di prodotto supera il costo del trattamento;Nel momento in cui arriva l’epoca prevista per iniziare i trattamenti su una determinata coltura contro uno specifico parassita;B;3
Gli scopazzi del melo (Apple proliferation) sono una malattia da quarantena?;No;Sì, in passato;Sì;C;2
L’Erwinia amylovora è:;un fungo;un batterio;un virus;B;2
La ticchiolatura del pero è causata da:;un batterio;un micete;un insetto;B;2
Che cos’è il disorientamento sessuale?;È un sinonimo di confusione sessuale;È una tecnica che tende a “saturare” l’ambiente con feromoni sessuali;È una tecnica che crea delle false tracce di feromoni femminili;C;3
Che cos’è la confusione sessuale?;È un sinonimo di disorientamento sessuale;È una tecnica che tende a “saturare” l’ambiente con feromoni sessuali;È una tecnica che crea delle false tracce di feromoni femminili;B;3
Gli insetti ausiliari...;si comportano come antagonisti di insetti dannosi alle colture;proteggono le colture da attacchi di acari;favoriscono l’impollinazione incrociata delle piante spontanee e di quelle di interesse agrario;C;2
Quali prodotti fitosanitari possono essere usati per la produzione biologica?;Nessuno;Solo quelli definiti “biologici”;Solo quelli indicati da una apposita normativa;C;3
Che cosa si intende per selettività di un insetticida?;La capacità di agire sugli insetti nocivi pur essendo di bassa tossicità per l’uomo;La capacità di eliminare tutti gli insetti presenti senza causare fenomeni di fitotossicità per la coltura;La capacità di eliminare gli insetti nocivi, ma rispettando il più possibile gli insetti utili;C;3
Quali vantaggi comporta il diserbo meccanico in pre-emergenza in sostituzione di quello chimico?;Economici;Ambientali;Economici e ambientali insieme;B;1
Quali fenomeni si possono incontrare impiegando un erbicida a dose più alta di quella riportata in etichetta?;Fitotossicità per la coltura;Aumento della produzione, perché si eliminano tutte le infestanti;Nessuno, se dato in pre-semina;A;2
E’ corretto eseguire i trattamenti fitosanitari a calendario seguendo le fasi fenologiche?;Sì, perché si è sicuri di colpire in tempo l’avversità da combattere;No, perché non si è certi che l’avversità sia realmente presente o abbia raggiunto un livello di dannosità per la coltura;Sì, limitatamente ai prodotti fungicidi;B;3
I nematodi fitoparassiti possono trasmettere virosi?;Sì, sempre;No, mai;Solo alcune specie sono in grado di trasmettere determinati virus;C;1
Un prodotto aficida può essere impiegato su qualsiasi coltura per la lotta contro gli afidi?;Può essere impiegato solamente a seguito di una prescrizione scritta firmata da un consulente;No, solo per le colture indicate in etichetta;Sì, in quanto è un prodotto specifico;B;3
Quale fra i seguenti è un possibile mezzo di previsione delle infezioni fungine e quindi delle necessità di trattamenti?;Il controllo dei parametri meteorologici;Il calendario lunare;Il controllo del colore delle foglie;A;3
Che cosa sono i disciplinari di produzione integrata?;Sono indicazioni impartite a livello comunitario relative allo smaltimento integrato e differenziato dei rifiuti prodotti in agricoltura;Sono linee tecniche regionali che mirano ad ottenere prodotti agricoli minimizzando l’uso di sostanze chimiche, per aumentare la sicurezza per l’ambiente e la salute.;Sono i registri su cui vengono riportati gli interventi fitosanitari eseguiti annualmente, integrati dai dati relativi alle irrigazioni e alle concimazioni;B;2
A che cosa servono i modelli previsionali?;A calcolare il quantitativo di prodotto fitosanitario da distribuire, in relazione alla superficie fogliare da irrorare;A prevedere l’evoluzione delle perturbazioni meteorologiche nel breve periodo (3-5 giorni);A razionalizzare le strategie di difesa ed ottimizzare il posizionamento dei trattamenti;C;3
Come funziona il metodo della cattura massale?;Attraverso catture di massa di maschi, con l’uso di un numero consistente di trappole;Con trappole in grado di catturare maschi e femmine di tutti gli insetti presenti nel frutteto;Con la distribuzione di consistenti quantitativi di insetticidi a largo spettro d’azione;B;2
A che cosa è dovuta la “stanchezza” del terreno?;Alle lavorazioni del terreno effettuate quando il suolo aveva un eccesso di umidità;All’uso continuo di geo-disinfestanti;Al continuo ripetersi della stessa coltura sullo stesso terreno;C;1
Gli attacchi di acari sono favoriti da:;condizioni climatiche caldo umide e piogge frequenti;concimazioni azotate e irrigazioni eccessive;temperature elevate e situazioni di stress idrico;C;3
Con gli insetticidi di impiego agricolo possono essere trattati i parassiti degli animali?;Sì, solamente sugli animali al pascolo;No, mai;Sì, ma solo su prescrizione del veterinario;B;2
I corroboranti sono:;sostanze di origine naturale, diverse dai fertilizzanti, che migliorano la resistenza delle piante nei confronti degli organismi nocivi e le proteggono da danni non provocati da parassiti;coadiuvanti di prodotti fitosanitari che favoriscono una maggior copertura della superficie irrorata e aumentano la resistenza al dilavamento;sostanze che servono a ridurre la concentrazione della sostanza attiva poiché ne aumentano l’efficacia;A;1
Cosa sono i fitoregolatori?;Sostanze di origine naturale che hanno lo scopo di regolare l’efficacia delle sostanze attive;Prodotti impiegati per la concia delle sementi;Prodotti fitosanitari che promuovono o inibiscono determinati processi naturali delle piante;C;3
In base alla modalità d’azione, quali erbicidi possono influire negativamente sulla coltura che segue quella trattata?;Di contatto (disseccanti).;Antigerminello (residuali).;Ad assorbimento fogliare sistemico;B;2
Che cosa indica la persistenza d’azione di un prodotto fitosanitario?;La capacità di non essere dilavato dalla pioggia;La capacità di essere attivo nel tempo, nei confronti delle avversità per cui è registrato;La capacità di agire anche durante il riposo vegetativo di una pianta;B;2
L’intervallo di sicurezza di un prodotto fitosanitario varia se viene diminuita la dose di impiego?;Diminuisce se si aumenta la quantità d’acqua impiegata;Diminuisce in modo inversamente proporzionale alla concentrazione;Non varia;C;3
I prodotti antideriva sono:;concimi formulati appositamente per essere utilizzati come antideriva;prodotti in grado di modificare la dimensione delle gocce e che sono sempre contenuti nei formulati commerciali;prodotti fitosanitari autorizzati per tale impiego;C;1
Che cosa si intende per limite massimo di residui?;Il residuo massimo di sostanza attiva tollerato sui prodotti agricoli freschi o sulle derrate immesse al consumo;La quantità massima di prodotto fitosanitario che è possibile riscontrare nelle falde acquifere superficiali;Il limite massimo di prodotto fitosanitario avanzato alla fine del trattamento che si può scaricare nei corsi d’acqua;A;2
Se si effettuano trattamenti della frutta in post-raccolta, prima di immetterla sul mercato è necessario;pulirla in maniera che venga ridotta la quantità di sostanza attiva rilevabile;rispettare il tempo di rientro;rispettare assolutamente i tempi di carenza;C;3
I prodotti fitosanitari non professionali per piante edibili (PFnPE):;possono essere acquistati esclusivamente da coloro che possiedono il certificato per utilizzatore professionale;possono essere acquistati sia dagli utilizzatori non professionali che da coloro che possiedono il certificato per utilizzatore professionale;possono essere acquistati ovunque e solo dagli utilizzatori non professionali;B;2
Qual è l’epoca di intervento legata all’attività di un prodotto fungicida di copertura?;Preventiva: impedisce lo sviluppo dell’infezione;Curativa: consente di combattere la malattia durante l’incubazione;Eradicante: blocca lo sviluppo di infezioni già manifeste;A;3
È consigliato utilizzare i prodotti fungicidi con finalità eradicanti?;Sì, perché si interviene solo quando la malattia è presente sulla coltura e si evitano trattamenti inutili;No, perché il trattamento così effettuato risulta eccessivamente costoso;No, perché si può incorrere nell’insorgenza di fenomeni di resistenza del patogeno;C;2
É consigliabile fare un trattamento insetticida preventivo?;Sì, in quanto si impedisce l’eventuale diffusione dell’infestazione;No, perché non è presente il bersaglio cui è diretto il trattamento;No, perché rappresenta un onere troppo elevato per l’agricoltore;B;2
Cos’è l’azione citotropica segnalata nell’etichetta di alcuni prodotti?;È l’azione di penetrazione della sostanza attiva nei tessuti vegetali;È la capacità della sostanza attiva di traslocare all’interno del sistema linfatico della pianta;È l’azione di copertura svolta della sostanza attiva sulla vegetazione;A;1
Quando un prodotto fitosanitario svolge un’azione citotropica- translaminare?;Quando è capace di penetrare nelle foglie e di traslocare a livello sistemico nel resto della pianta;Quando è capace di penetrare nelle foglie e di raggiungere la pagina opposta a quella direttamente interessata dal trattamento;Quando ha una traslocazione esclusivamente basipeta;B;1
Come avviene la valutazione della soglia di intervento?;Valutando la scadenza del precedente intervento fitosanitario in base alle caratteristiche del prodotto utilizzato;Attraverso monitoraggi e campionamenti di campo effettuati con procedura standard e ripetibile;Dividendo il numero di piante presenti nel campo coltivato per il numero di trattamenti fatti in un anno;B;3
Formulati diversi contenenti la stessa sostanza attiva possono riportare frasi di rischio differenti?;No;Dipende dalla taglia della confezione;Si;C;2
Qual è l’epoca di intervento legata all’attività di un prodotto fungicida di copertura?;Preventiva: impedisce lo sviluppo dell’infezione;Curativa: consente di combattere la malattia durante l’incubazione;Eradicante: blocca lo sviluppo di infezioni già manifeste;A;2
Qual è la caratteristica di un fungicida sistemico?;La capacità di agire sistematicamente nei confronti di tutte le avversità fungine presenti sulla pianta;Di essere molto pericoloso per il sistema respiratorio dell’operatore che effettua il trattamento;La capacità di essere assorbito dai tessuti vegetali e di trasferirsi per via linfatica nella pianta;C;2
Fra le seguenti modalità d’azione degli insetticidi quale è la più selettiva?;Per contatto;Per ingestione;Per asfissia;B;3
Un prodotto fitosanitario registrato contro uno specifico fitofago sul melo, può essere utilizzato anche contro lo stesso fitofago sul pesco?;Sì, in quanto è un prodotto fitosanitario specifico contro quel fitofago;No, se non riporta in etichetta anche il pesco come coltura autorizzata;Solo se il fitofago crea danni rilevanti sul pesco e non esistono in commercio prodotti registrati su pesco;B;3
Secondo la classificazione ISO, a parità di colore e alla stessa pressione, eroga una portata maggiore l’ugello:;a cono;a ventaglio;la portata è la medesima per entrambi;C;1
Il dispositivo antigoccia serve ad evitare:;il gocciolamento dagli ugelli subito dopo lo spegnimento del motore della trattrice;il gocciolamento della miscela fitoiatrica dalla vegetazione;il gocciolamento dagli ugelli subito dopo la chiusura del circuito idraulico;C;2
Ai fini della lavabilità interna del serbatoio quale fra i seguenti è il materiale meno indicato?;Acciaio inox;Vetroresina;Polietilene;B;1
In quale tipologia di ugelli si trova la camera di turbolenza?;In tutte le tipologie;Negli ugelli a cono;Negli ugelli ventaglio e a specchio;B;1
A cosa serve la corrente d’aria generata dal ventilatore nelle irroratrici a polverizzazione per pressione?;Ad aumentare la polverizzazione delle gocce;A facilitare il trasporto delle gocce sul bersaglio;A raffreddare il corpo macchina;B;2
Una irroratrice nuova marcata CE con quale serbatoio deve essere equipaggiata (oltre a quello della soluzione da irrorare)?;Serbatoio lavamani;Nessun altro serbatoio;Serbatoio lavaimpianto;A;1
Qual è il materiale di fabbricazione migliore di un ugello dal punto di vista della resistenza all’usura?;La plastica;L’acciaio temprato;La ceramica;C;2
Quale vantaggio consente un’irroratrice con sistema di distribuzione a torretta?;Avvicinare il punto di erogazione al bersaglio;Ridurre la potenza assorbita;Migliorare la penetrazione dell’aria all’interno della chioma rispetto all’atomizzatore convenzionale;A;2
A quale funzione assolve il dispositivo di isolamento del filtro?;Consente di ispezionare il filtro con serbatoio pieno senza perdita di liquido eccetto quello presente all’interno del filtro stesso;Consente di isolare il filtro dall’ambiente esterno;Permette di creare un vuoto d’aria necessario per la funzionalità del filtro;A;1
Quale irroratrice fra le seguenti è la più indicata per minimizzare le perdite di prodotto a terra e per deriva?;Irroratrice a tunnel con recupero;Irroratrice a torretta;Irroratrice scavallante;A;2
L’attestato di funzionalità dell’irroratrice viene:;rilasciato al proprietario della macchina nel caso di superamento del controllo funzionale;inviato all’ufficio competente per l’inserimento dei dati del controllo funzionale nel fascicolo aziendale;rilasciato all’utilizzatore della macchina a condizione che lo stesso provveda a effettuare entro un mese le eventuali riparazioni prescritte;A;2
Quali sono le tipologie di ugelli più idonee per i trattamenti fungicidi su frumento in prefioritura?;A doppio ventaglio;A ventaglio;A cono;A;1
Quali sono le tipologie di ugelli più idonee per il diserbo di pre- emergenza?;A cono;A ventaglio;A ventaglio antideriva;C;1
Una barra irroratrice con manica d’aria, opportunamente regolata, è consigliata per:;favorire la penetrazione del prodotto distribuito nella coltura erbacea in atto;per i trattamenti di diserbo di pre-emergenza;in tutte le condizioni, per ridurre la deriva;A;2
Entro quanti anni dall’acquisto a nuovo bisogna sottoporre una irroratrice al controllo funzionale?;3 anni;4 anni;2 anni se è utilizzata da un contoterzista;C;3
Durante il trasporto dei prodotti fitosanitari acquistati è necessario disporre di Dispositivi di Protezione Individuale?;Sì, perché in caso di rottura delle confezioni e/o sversamenti è necessario indossare i DPI;Solo se si sono acquistati prodotti fitosanitari sfusi e non nelle conservati nelle confezioni originali;Solo se il trasportatore è privo del certificato di abilitazione per utilizzatore professionale;A;2
Con quale colore è contrassegnato un filtro per vapori organici?;Marrone;Grigio;Verde;A;1
Nel caso di utilizzo dei filtri combinati per polveri e vapori organici, questi come devono essere posizionati?;È indifferente;Sul corpo della maschera deve essere montato il filtro per polveri e sul filtro per polveri deve essere montato il filtro per vapori organici;Sul corpo della maschera deve essere montato il filtro per vapori organici e sul filtro per vapori organici deve essere montato il filtro per polveri;C;3
Quali sono i Requisiti Essenziali di Sicurezza (RES) che l’utilizzatore dei DPI deve verificare?;La presenza della dichiarazione di conformità, della marcatura CE anche sull’imballaggio e della nota informativa.;L’apposizione della marcatura ce sul dpi, sull’imballaggio e sulla dichiarazione di conformità;La rispondenza ai RES del DPI nel certificato di conformità.;A;2
Nelle aree molto sensibili o “specifiche” è sempre vietato l’uso di prodotti fitosanitari?;Nelle aree specifiche il loro uso è sempre vietato;Nelle aree specifiche il loro uso non è mai vietato;Nelle aree specifiche il loro uso può essere vietato o ridotto al minimo;C;3
Nel caso in cui un conto terzista distribuisca prodotti fitosanitari ad uso professionale in ambito extra agricolo, il conto terzista:;deve annotare il trattamento sul registro dei trattamenti del cliente o consegnare la scheda di trattamento;non è necessario che annoti il trattamento sul registro o consegni la scheda essendo in ambito extra agricolo;annoti il trattamento sul registro dei trattamenti del conto terzista;A;2
